Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
20,12.36,33.439,5.57,0.93,0.43,0.78,8.2,0.14,7.3,0.13
30,12.32,33.579,5.21,0.78,0.38,0.91,9.6,0.16,9.1,0.19
40,11.62,33.627,4.65,0.77,0.38,1.17,13.0,0.17,13.3,0.06
50,11.15,33.67,4.09,0.39,0.28,1.38,15.8,0.15,16.4,0.06
60,10.74,33.691,3.48,0.14,0.17,1.58,18.2,0.02,19.8,0.0
70,10.12,33.818,2.88,0.04,0.11,1.83,23.4,0.01,23.0,0.0
75,9.8,33.88,2.72,0.03,0.11,1.9,24.9,0.01,24.0,0.0
85,9.75,33.919,2.55,0.02,0.11,1.97,26.8,0.01,25.1,0.0
99,9.59,33.967,2.4,0.01,0.08,2.04,28.3,0.0,25.8,0.0
100,9.5,33.897,2.39,0.01,0.08,2.04,28.4,0.0,25.8,0.0
119,9.42,34.012,2.25,0.01,0.08,2.1,30.2,0.0,26.7,0.0
125,9.14,33.987,2.13,0.01,0.11,2.15,31.4,0.0,27.3,0.0
139,9.11,34.062,1.86,0.01,0.17,2.26,34.2,0.0,28.7,0.0
150,9.01,34.064,1.78,0.02,0.18,2.29,35.1,0.0,29.1,0.0
169,8.95,34.092,1.71,0.03,0.19,2.32,36.0,0.01,29.5,0.0
200,8.78,34.133,1.52,0.01,0.07,2.41,39.0,0.01,30.4,0.0
0,13.57,33.473,6.2,3.43,0.61,0.53,5.3,0.13,2.3,0.17
1,13.57,33.473,6.2,3.43,0.61,0.53,5.3,0.13,2.3,0.17
6,13.26,33.47,6.16,2.49,0.52,0.56,5.4,0.15,2.6,0.23
10,13.15,33.467,6.06,2.39,0.62,0.58,5.6,0.16,2.8,0.26
11,13.15,33.472,6.03,2.37,0.65,0.58,5.6,0.16,2.9,0.27
20,13.05,33.463,5.75,1.59,0.5,0.66,6.0,0.17,4.1,0.63
30,12.89,33.49,5.44,0.76,0.35,0.78,7.1,0.17,5.6,0.64
0,13.24,33.511,5.82,1.52,0.48,0.64,6.0,0.1,4.8,0.07
2,13.24,33.511,5.82,1.52,0.48,0.64,6.0,0.1,4.8,0.07
